A1C5,A1C7,A1C10,A1C13,A1C15,A1C17,A1C20,A1L5,A1L7,A1L10,A1L13,A1L15,A1L17,A1L20,A1LR5,A1LR7,A1LR10,A1LR13,A1LR15,A1LR17,A1LR20,A2C5,A2C7,A2C10,A2C13,A2C15,A2C17,A2C20,A2L5,A2L7,A2L10,A2L13,A2L15,A2L17,A2L20,A2LR5,A2LR7,A2LR10,A2LR13,A2LR15,A2LR17,A2LR20
0.571742479828099,0.987793733681462,0.88668142483168,0.769850351425442,0.755061018080239,0.760519898081483,0.680716705034419,0.548473048210594,0.708244854622672,0.714467499861886,0.590182799472948,0.591285653108882,0.558156447186313,0.485507689871694,0.548473048210594,0.708244854622672,0.706277005981107,0.5925345269661,0.65023093726578,0.538327857384197,0.486422441802082,0.845807594552637,0.596982025857947,0.681900191483996,0.711251209560645,0.519429978144829,0.524031852504111,0.492785497388042,0.70131035842757,0.609789890203758,0.55882955000607,0.625553251126154,0.711720643107064,0.574372739787463,0.516153754225459,0.70131035842757,0.609789890203758,0.613758787661858,0.615241308367461,0.696860148971584,0.587204181367622,0.566921078742461
0.852154114149146,0.825488682864319,0.890648967533516,0.952900973787659,0.986895394940255,0.871360080313548,0.924381721490795,0.475853403416903,0.569434640042817,0.489203103365296,0.52587120263528,0.450329923636887,0.552155525474883,0.621464405970837,0.475853403416903,0.569434640042817,0.488015435482795,0.516059110484393,0.497838396993055,0.602417470070871,0.608756657590469,1,0.594097875050344,0.671562226989328,0.487953501593085,0.56985511393151,0.621650991998193,0.503983888749534,0.944856836379886,0.585060212452273,0.617944711841088,0.579859872733845,0.71082407380774,0.644906582167471,0.722030580647232,0.944856836379886,0.585060212452273,0.58936255294898,0.574239892577584,0.65063506781007,0.637710502352867,0.739668298937958
0.875148161472467,0.925217260294611,0.81534431852872,0.827771902533116,0.777777777777778,0.698630048299824,0.653364421278267,0.797313389659639,0.661762256898655,0.550040934089931,0.551604932370232,0.575275158900552,0.575349438574041,0.6294325136875,0.797313389659639,0.639109712477015,0.52094805923151,0.550415936802402,0.541438862945602,0.585493905238965,0.542058216465981,0.69105438007919,0.873165010673906,0.609652111872653,0.716758328918216,0.64282959040879,0.479034272691414,0.429064698315677,0.544289597922376,0.67148764859316,0.607714905533944,0.728216031293568,0.587521803110592,0.615855437345848,0.581772612588684,0.544289597922376,0.67148764859316,0.586416898231812,0.718864538503346,0.683650770536338,0.573073423187316,0.587415563750498
0.89403872541546,0.976425565179264,0.917891961455788,0.852882998714271,0.884544878737809,0.816415258362708,0.832023338404746,0.644592287827724,0.704885498407951,0.699526017233437,0.727182944546924,0.642848765143648,0.580867520277367,0.551335129115518,0.644592287827724,0.704885498407951,0.673734934553508,0.716328611988835,0.657389300406533,0.672109688613287,0.577167176766459,0.802549671697791,0.722721946804887,0.670553632404737,0.568286812651608,0.456660950765061,0.646995897354009,0.601323081641147,0.610600824262138,0.731480679095785,0.568305101522484,0.680796328079942,0.665318429871658,0.665776283837007,0.536662499080679,0.610600824262138,0.731480679095785,0.546134855307941,0.672189261192602,0.707177285058366,0.67836947963639,0.5409778079939
0.920637387310916,0.967948096424553,0.864531948862576,0.970779960563671,0.855626409165933,0.787325804793708,0.788709525010099,0.642766245586619,0.531409089079359,0.642004076512934,0.668471924227525,0.616994014549038,0.57866609516036,0.615732404056891,0.642766245586619,0.528651455586823,0.642299244357477,0.668471924227525,0.619677290183052,0.57866609516036,0.548085834452063,0.952444239989091,0.677887199057402,0.885637450895051,0.611093562579097,0.687683718453353,0.549357866409959,0.562222729802505,0.794249777263148,0.528183996252912,0.689382382744672,0.561373564900668,0.676173737765546,0.593230592880341,0.626547872530244,0.794249777263148,0.528183996252912,0.667504319762611,0.576861954131252,0.690226253385237,0.57665231891439,0.628296727529329
1,0.996785607409078,0.951124511473062,0.941818192808842,0.866232328469537,0.947039694600975,0.666935471600505,0.466148981503869,0.2877014664043,0.638736455573689,0.663048108809305,0.572723089455906,0.590818847459086,0.68052807975385,0.466148981503869,0.2877014664043,0.653413725660111,0.663048108809305,0.582870534662411,0.582820765316438,0.623736593547248,0.774805491203731,0.77581760473166,0.608920111670597,0.608226175806309,0.35265833195516,0.566967337847077,0.741154124786107,0.56259052489137,0.569112233474274,0.510964997532629,0.56132301363771,0.421182197962394,0.602407327847313,0.654218839789248,0.56259052489137,0.57077872718083,0.490261397460387,0.575610405410775,0.461694073349536,0.577685375290416,0.544294144679256
0.795490753717001,0.856495930153342,0.936685547512627,0.872226676480639,0.850720827445516,0.901982737934319,0.807760656600284,0.782778534965158,0.822141535057549,0.643885912300123,0.663628316809561,0.667156728767326,0.556705503229912,0.518400880027261,0.782778534965158,0.822141535057549,0.616146204934832,0.697068697396774,0.608120186270145,0.536343906030389,0.534534161904801,0.725822458952509,0.671420376024463,0.667943227113474,0.571644602933111,0.575980144282632,0.549303496498376,0.477231836534714,0.629290468249779,0.83214361972221,0.461516738586427,0.568159280178591,0.602734591947305,0.580751524351583,0.651278943739718,0.629290468249779,0.83214361972221,0.475941681886459,0.568159280178591,0.606533752978663,0.628646898804436,0.55586205961437
0.912039105345404,0.82372307025812,0.664443658461432,0.733824213956244,0.741113380571736,0.775993572921485,0.75481768888967,0.593427709537294,0.763363631831974,0.59466281787297,0.556056578000382,0.579906199951512,0.588890680663722,0.506433512337245,0.593427709537294,0.763363631831974,0.57342477069052,0.529332720393225,0.573136541023908,0.546936769915124,0.518398350080198,0.583266782316219,0.849277214481523,0.560845074486766,0.605499641708029,0.569710400052782,0.448215028198193,0.553680243030991,0.663103252299343,0.473285920349217,0.496932701627822,0.669472500168413,0.569662956467237,0.584434136962674,0.665352555692662,0.663103252299343,0.473285920349217,0.488058983552352,0.6695395139144,0.562331307394044,0.567566265619132,0.567676747873972
0.913884295146626,0.666158946592916,0.653509493118611,0.808699668627376,0.915410464663064,0.907568277755831,0.807589572713032,0.680175044431776,0.684217584936085,0.647711283169641,0.577631502973613,0.664436834068487,0.583804576511738,0.63574575120331,0.672072301719316,0.684217584936085,0.622530802772778,0.577631502973613,0.610886330982775,0.663158684131587,0.625369591967067,1,0.900687090131201,0.685974186950601,0.505147977426442,0.643698267430347,0.519684631523369,0.524910511181558,0.835832044889947,0.809516175933313,0.621929374405172,0.697723109133735,0.651564936259688,0.724848842829438,0.617024130221403,0.835832044889947,0.785273062284782,0.678403791985357,0.677627610375435,0.623005885509056,0.738717478019359,0.617024130221403
0.925654202888665,1,0.850694802206332,0.683958620704394,0.669535199823706,0.721177743122537,0.693846833650637,0.674801854997733,0.820138614977179,0.691605889620062,0.613593451620478,0.518672759324621,0.432327004864427,0.506399256581634,0.674801854997733,0.820138614977179,0.69997396353378,0.600589024261009,0.535675256975063,0.513207624752004,0.551066037334011,0.827378071588615,0.630090505003965,0.702413527730972,0.794064256501104,0.44253319400583,0.479927850258904,0.476465711177533,0.611281414560994,0.627986283059637,0.677476008525396,0.762088154362229,0.475861973052177,0.565821049557581,0.666547070273301,0.611281414560994,0.602013053229687,0.677476008525396,0.724325250337099,0.432846340469191,0.574186919735684,0.661262355347353
